City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
36,ghogha,21.6833,72.2833,28.56,43,81,4.37,IN,1681436497
37,rumoi,43.9344,141.6428,8.17,68,0,3.83,JP,1681436498
38,lebu,-37.6167,-73.65,13.04,95,96,0.29,CL,1681436499
39,warri,5.5167,5.75,25.52,92,53,1.62,NG,1681436499
40,cape town,-33.9258,18.4232,18.54,77,75,3.13,ZA,1681436263
41,methven,-43.6333,171.65,13.34,87,97,1.34,NZ,1681436500
42,balingasay,16.3573,119.8564,28.21,77,100,5.18,PH,1681436501
43,puerto del rosario,28.5004,-13.8627,18.86,72,100,9.77,ES,1681436501
44,katherine,-14.4667,132.2667,30.18,66,40,1.03,AU,1681436502
45,kapaa,22.0752,-159.319,25.99,79,75,8.75,US,1681436502
46,peniche,39.3558,-9.3811,12.84,77,100,5.27,PT,1681436503
47,bredasdorp,-34.5322,20.0403,14.66,61,70,5.09,ZA,1681436504
48,tasiilaq,65.6145,-37.6368,0.09,89,56,2.27,GL,1681436504
49,porangatu,-13.4408,-49.1486,23.6,87,100,0.62,BR,1681436154
50,svatove,49.4103,38.1503,8.2,94,100,3.97,UA,1681436461
51,kamaishi,39.2667,141.8833,15.69,50,59,7.1,JP,1681436506
52,esperance,-33.8667,121.9,13.9,69,61,12.29,AU,1681436506
53,isangel,-19.55,169.2667,28.61,74,100,4.59,VU,1681436507
54,victoria,22.2855,114.1577,27.03,82,100,5.36,HK,1681436294
55,nouakchott,18.0858,-15.9785,25.96,68,56,5.67,MR,1681436508
56,qaanaaq,77.484,-69.3632,-15.52,76,1,2.36,GL,1681436508
57,matias romero,16.8833,-95.0333,25.08,71,26,3.09,MX,1681436509
58,richards bay,-28.783,32.0377,21.06,86,84,2.75,ZA,1681436509
59,touros,-5.1989,-35.4608,24.87,90,75,3.75,BR,1681436302
60,darhan,49.4867,105.9228,-0.04,44,9,3.91,MN,1681436510
61,imbituba,-28.24,-48.6703,20.42,94,99,4.53,BR,1681436434
62,new norfolk,-42.7826,147.0587,15.51,47,0,1.77,AU,1681436511
63,khatanga,71.9667,102.5,-22.58,94,52,7.95,RU,1681436512
64,mar del plata,-38.0023,-57.5575,12.27,64,75,3.09,AR,1681436217
65,nemuro,43.3236,145.575,6.76,74,3,5.53,JP,1681436514
66,mongoumba,3.6415,18.5936,21.91,98,100,1.24,CF,1681436515
67,port macquarie,-31.4333,152.9167,23.27,68,14,6.59,AU,1681436515
68,shimoda,34.6667,138.95,20.2,55,100,4.86,JP,1681436516
69,hilo,19.7297,-155.09,24.85,69,40,4.02,US,1681436516
70,thunder bay,48.4001,-89.3168,5.99,75,40,2.57,CA,1681436517
71,kaitangata,-46.2817,169.8464,16.07,75,60,5.95,NZ,1681436517
72,chastyye,57.2888,54.9728,-5.64,51,6,7.31,RU,1681436518
73,kahului,20.8947,-156.47,29.01,59,20,7.2,US,1681436518
74,airai,-8.9266,125.4092,22.38,69,10,1.14,TL,1681436519
75,east london,-33.0153,27.9116,17.63,65,62,6.16,ZA,1681436519
76,cidreira,-30.1811,-50.2056,18.55,86,100,4.47,BR,1681436520
77,lagoa,39.05,-27.9833,16.01,84,52,4.84,PT,1681436485
78,rikitea,-23.1203,-134.9692,22.56,92,100,11.07,PF,1681436521
79,ambilobe,-13.2,49.05,21.67,96,12,1.5,MG,1681436521
80,le port,-20.9373,55.2919,24.0,92,100,1.81,RE,1681436506
81,ambarawa,-7.2633,110.3975,24.87,77,100,0.39,ID,1681436522
82,ponta do sol,32.6667,-17.1,18.34,75,86,4.07,PT,1681436523
83,kodiak,57.79,-152.4072,1.73,87,100,2.06,US,1681436326
84,narsaq,60.9167,-46.05,7.12,70,100,3.82,GL,1681436524
85,nazret,8.55,39.2667,19.35,63,89,2.96,ET,1681436525
86,ossora,59.2353,163.0719,-1.18,89,100,4.18,RU,1681436525
87,san patricio,28.017,-97.5169,22.92,65,61,5.18,US,1681436526
88,brigantine,39.4101,-74.3646,20.08,66,5,4.83,US,1681436526
89,vostok,46.4856,135.8833,0.72,74,100,3.5,RU,1681436527
90,murray bridge,-35.1167,139.2667,23.96,43,84,8.25,AU,1681436527
91,saldanha,-33.0117,17.9442,15.24,86,0,5.44,ZA,1681436528
92,san quintin,30.4833,-115.95,13.32,65,33,6.44,MX,1681436528
93,matagami,49.7502,-77.6328,2.06,75,75,6.17,CA,1681436529
94,saint-philippe,-21.3585,55.7679,23.77,85,93,0.53,RE,1681436529
95,geraldton,-28.7667,114.6,18.23,52,75,11.32,AU,1681436530
96,kiruna,67.8557,20.2251,-6.49,73,7,4.12,SE,1681436530
97,leshukonskoye,64.8989,45.7622,-19.15,99,32,1.17,RU,1681436531
98,yellowknife,62.456,-114.3525,-2.71,68,100,2.57,CA,1681436307
99,thompson,55.7435,-97.8558,6.09,52,75,2.06,CA,1681436532
100,jiwani,25.05,61.7417,26.02,78,0,4.48,PK,1681436533
101,sinnamary,5.3833,-52.95,25.08,90,100,3.78,GF,1681436533
102,jiblah,13.9216,44.1467,15.7,75,11,1.72,YE,1681436534
103,hovd,48.0056,91.6419,2.63,19,0,2.19,MN,1681436534
104,goundam,16.4145,-3.6708,28.6,12,100,4.89,ML,1681436535
105,sitka,57.0531,-135.33,5.94,70,100,5.66,US,1681436536
106,beloha,-25.1667,45.05,19.5,97,6,2.58,MG,1681436536
107,garden city,42.3256,-83.331,24.14,37,40,3.6,US,1681436363
108,porto novo,6.4965,2.6036,28.9,84,19,2.73,BJ,1681436537
109,souillac,-20.5167,57.5167,22.21,94,20,1.54,MU,1681436538
110,bata,1.8639,9.7658,25.07,89,100,2.3,GQ,1681436539
111,talnakh,69.4865,88.3972,-22.38,91,98,2.77,RU,1681436540
112,horsham,51.064,-0.3272,9.24,88,100,1.03,GB,1681436540
113,butaritari,3.0707,172.7902,27.2,80,83,4.54,KI,1681436541
114,araguaina,-7.1911,-48.2072,24.85,79,100,1.06,BR,1681436541
115,mount isa,-20.7333,139.5,30.87,20,96,3.6,AU,1681436543
116,tiksi,71.6872,128.8694,-6.9,77,100,1.48,RU,1681436543
117,cajati,-24.7361,-48.1228,20.86,99,56,1.38,BR,1681436543
118,torbay,47.6666,-52.7314,1.43,92,100,2.06,CA,1681436544
119,hailey,43.5196,-114.3153,2.92,56,40,2.68,US,1681436544
120,kavieng,-2.5744,150.7967,28.84,76,28,6.69,PG,1681436545
121,poronaysk,49.2167,143.1167,2.76,58,88,2.04,RU,1681436546
122,norman wells,65.282,-126.8329,-8.98,79,100,4.12,CA,1681436506
123,wladyslawowo,54.7909,18.4009,10.26,97,87,2.84,PL,1681436455
124,piacabucu,-10.4056,-36.4344,24.59,73,79,2.32,BR,1681436548
125,bluff,-46.6,168.3333,15.86,69,0,5.5,NZ,1681436548
126,nuevitas,21.5453,-77.2644,24.62,84,78,2.49,CU,1681436549
127,chornukhy,50.2673,32.942,7.93,94,100,4.7,UA,1681436550
128,rio gallegos,-51.6226,-69.2181,5.03,81,0,2.57,AR,1681436550
129,yokadouma,3.5167,15.05,21.11,98,100,0.58,CM,1681436551
130,alta gracia,-31.6529,-64.4283,12.95,82,100,1.23,AR,1681436551
131,barrow,71.2906,-156.7887,-17.99,71,0,7.72,US,1681436552
132,leh,34.1667,77.5833,-3.92,52,20,0.99,IN,1681436294
133,walvis bay,-22.9575,14.5053,14.58,75,0,4.28,NA,1681436553
134,new philadelphia,40.4898,-81.4457,18.78,57,0,0.45,US,1681436553
135,luderitz,-26.6481,15.1594,15.93,70,44,8.18,NA,1681436554
136,mariental,-24.6333,17.9667,14.86,29,0,4.15,NA,1681436555
137,lethem,3.3803,-59.7968,29.03,55,87,4.74,GY,1681436556
138,beringovskiy,63.05,179.3167,-12.61,75,97,4.38,RU,1681436556
139,akora,34.0036,72.1261,23.12,39,0,1.65,PK,1681436557
140,nuuk,64.1835,-51.7216,4.34,56,100,2.57,GL,1681436463
141,tubuala,9.5167,-79.0333,26.11,85,70,6.68,PA,1681436558
142,husavik,66.0449,-17.3389,2.32,92,97,0.55,IS,1681436559
143,paveh,35.0434,46.3565,2.8,99,100,1.27,IR,1681436560
